,toxic,severe_toxic,obscene,threat,insult,identity_hate
precision,0.9244868035190615,0.6774193548387096,0.8879716981132075,0.0,0.8069686411149826,0.0
recall,0.5436516490622979,0.04411764705882353,0.5864485981308412,0.0,0.4829024186822352,0.0
fbeta_score,0.6846749015881634,0.08284023668639054,0.7063789868667918,0.0,0.6042264544743021,0.0
support,4639.0,476.0,2568.0,152.0,2398.0,428.0
roc_auc,0.9510699934090638,0.9850677529564305,0.973280376417773,0.9412789099885095,0.964820166141686,0.953860139984455
