,toxic,severe_toxic,obscene,threat,insult,identity_hate
precision,0.8851794071762871,0.6101694915254238,0.8588730911005793,0.0,0.7751225490196079,0.0
recall,0.6115542142703169,0.07563025210084033,0.6351246105919003,0.0,0.5275229357798165,0.0
fbeta_score,0.7233554309026008,0.13457943925233645,0.7302440116409223,0.0,0.6277915632754343,0.0
support,4639.0,476.0,2568.0,152.0,2398.0,428.0
roc_auc,0.9568207817088681,0.9868271572915032,0.9764421503774694,0.9412117256801098,0.9680276990482843,0.9549067395789406
